dividend,period,price,reference_price,total_cash,total_interest,total_shares,volume
0.4,1,,14.0,1279.2,60.0,48,0
0.4,2,,14.0,1362.36,63.96,48,0
1.0,3,,14.0,1478.52,68.16,48,0
0.4,4,,14.0,1571.64,73.92,48,0
0.4,5,23.75,23.75,1669.44,78.6,48,3
1.0,6,20.0,20.0,1800.96,83.52,48,9
1.0,7,26.5,26.5,1938.97,90.01,48,1
0.4,8,27.0,27.0,2055.13,96.96,48,6
1.0,9,,27.0,2205.87,102.74,48,0
1.0,10,26.0,26.0,2364.16,110.29,48,1
1.0,11,28.5,28.5,2530.36,118.2,48,1
0.4,12,28.25,28.25,2676.07,126.51,48,5
0.4,13,29.0,29.0,2829.07,133.8,48,3
0.4,14,29.25,29.25,2989.73,141.46,48,2
1.0,15,29.0,29.0,3187.23,149.5,48,4
0.4,16,29.5,29.5,3365.79,159.36,48,3
0.4,17,29.63,29.63,3553.28,168.29,48,4
0.4,18,29.75,29.75,3750.17,177.69,48,6
0.4,19,30.25,30.25,3956.88,187.51,48,6
0.4,20,30.5,30.5,4173.92,197.84,48,7
0.4,21,30.75,30.75,4401.83,208.71,48,5
0.4,22,30.75,30.75,4641.15,220.12,48,6
0.4,23,30.75,30.75,4892.39,232.04,48,4
1.0,24,,30.75,5185.02,244.63,48,0
0.4,25,,30.75,5463.47,259.25,48,0
0.4,26,31.0,31.0,5755.85,273.18,48,11
1.0,27,31.0,31.0,6091.64,287.79,48,13
0.4,28,31.0,31.0,6415.41,304.57,48,14
0.4,29,,31.0,6755.37,320.76,48,0
0.4,30,,31.0,7112.34,337.77,48,0
