dividend,period,price,reference_price,total_cash,total_interest,total_shares,volume
0.4,1,,14.0,1279.2,60.0,48,0
0.4,2,,14.0,1362.36,63.96,48,0
1.0,3,,14.0,1478.52,68.16,48,0
0.4,4,,14.0,1571.64,73.92,48,0
0.4,5,,14.0,1669.44,78.6,48,0
1.0,6,,14.0,1800.96,83.52,48,0
1.0,7,,14.0,1938.96,90.0,48,0
0.4,8,,14.0,2055.12,96.96,48,0
1.0,9,,14.0,2205.84,102.72,48,0
1.0,10,,14.0,2364.12,110.28,48,0
1.0,11,,14.0,2530.32,118.2,48,0
0.4,12,,14.0,2676.0,126.48,48,0
0.4,13,,14.0,2829.0,133.8,48,0
0.4,14,,14.0,2989.68,141.48,48,0
1.0,15,,14.0,3187.2,149.52,48,0
0.4,16,17.53,17.53,3365.75,159.35,48,2
0.4,17,17.67,17.67,3553.23,168.28,48,19
