session,condition,period,unit,buyer,buyer_persona,seller,seller_persona,quantity,price,bid_limit,ask_limit
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,4,1,trader-00,MC,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,5,1,trader-00,MC,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,6,1,trader-00,MC,trader-02,NT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,7,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,8,1,trader-00,MC,trader-02,NT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,9,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,10,1,trader-00,MC,trader-02,NT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,11,1,trader-00,MC,trader-02,NT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,12,1,trader-00,MC,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,13,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,14,1,trader-00,MC,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,15,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,24,1,trader-09,PC,trader-06,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,24,2,trader-09,PC,trader-06,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,24,3,trader-02,NT,trader-06,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,24,4,trader-02,NT,trader-06,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,25,1,trader-02,NT,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,26,1,trader-00,MC,trader-09,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,27,1,trader-00,MC,trader-07,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,28,1,trader-00,MC,trader-02,NT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,20,1,trader-08,MC,trader-07,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,20,2,trader-08,MC,trader-07,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,20,3,trader-00,MC,trader-07,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,20,4,trader-01,NT,trader-07,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,29,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,29,2,trader-08,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,30,1,trader-00,MC,trader-10,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,1,1,trader-06,NT,trader-08,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,2,1,trader-06,NT,trader-08,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,2,2,trader-05,BT,trader-08,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,3,1,trader-05,BT,trader-08,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,17,1,trader-06,NT,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,17,2,trader-08,PC,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,18,1,trader-06,NT,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,19,1,trader-06,NT,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,20,1,trader-08,PC,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,21,1,trader-06,NT,trader-08,PC,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,22,1,trader-06,NT,trader-05,BT,1,14.0,14.0,14.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,23,1,trader-06,NT,trader-08,PC,1,14.0,14.0,14.0
