session,condition,trader,persona,buy_orders,sell_orders,holds,shares_bought,shares_sold,final_shares_before_redemption,net_trade_cash,interest_income,dividend_income,redemption_income,final_wealth,difference_from_no_trade
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-00,MC,25,0,5,15,0,19,-210.0,215.95,217.2,266,589.15,-59.54000000000008
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-01,RA,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-02,NT,6,12,12,3,5,2,28.0,478.85,30.0,28,664.85,16.159999999999968
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-03,NT,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-04,RA,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-05,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-06,PC,0,1,29,0,4,0,56.0,442.87,53.6,0,652.47,3.7799999999999727
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-07,BT,0,3,27,0,1,3,14.0,425.89,67.4,42,649.29,0.599999999999909
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-08,MC,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-09,PC,4,18,8,2,6,0,56.0,490.45,23.2,0,669.65,20.959999999999923
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-10,BT,2,25,3,0,4,0,56.0,484.55,26.2,0,666.75,18.059999999999945
RA-MC-BT-PC-NT-OC-s140926,RA+MC+BT+PC+NT+OC,trader-11,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-00,MC,29,0,1,3,0,7,-42.0,448.71,107.0,98,711.71,1.0600000000000591
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-01,NT,23,0,7,1,0,5,-14.0,450.8,104.0,70,710.8,0.14999999999997726
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-02,OC,30,0,0,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-03,PC,0,0,30,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-04,NT,0,0,30,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-05,OC,30,0,0,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-06,RA,0,0,30,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-07,PC,3,1,26,0,4,0,56.0,490.13,64.0,0,710.13,-0.5199999999999818
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-08,MC,28,1,1,3,0,7,-42.0,441.54,114.0,98,711.54,0.8899999999999864
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-09,BT,0,0,30,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-10,BT,0,2,28,0,3,1,42.0,462.12,91.0,14,709.12,-1.5299999999999727
RA-MC-BT-PC-NT-OC-s140927,RA+MC+BT+PC+NT+OC,trader-11,RA,0,0,30,0,0,4,0.0,458.65,96.0,56,710.65,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-00,RA,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-01,PC,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-02,RA,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-03,OC,30,0,0,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-04,OC,30,0,0,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-05,BT,18,8,4,2,6,0,56.0,452.45,76.4,0,684.85,-2.3899999999999864
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-06,NT,23,0,7,8,0,12,-112.0,360.18,180.2,168,696.38,9.139999999999986
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-07,BT,0,9,21,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-08,PC,18,8,4,2,6,0,56.0,514.88,9.8,0,680.68,-6.560000000000059
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-09,MC,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-10,NT,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
RA-MC-BT-PC-NT-OC-s140928,RA+MC+BT+PC+NT+OC,trader-11,MC,0,0,30,0,0,4,0.0,442.44,88.8,56,687.24,0.0
