session,period,best_bid,best_ask,reason,volume,price
baseline-s140926,1,,,no active orders,0,
baseline-s140926,2,,,no active orders,0,
baseline-s140926,3,,,no active orders,0,
baseline-s140926,4,,,no active orders,0,
baseline-s140926,5,,,no active orders,0,
baseline-s140926,6,,,no active orders,0,
baseline-s140926,7,,,no active orders,0,
baseline-s140926,8,,,no active orders,0,
baseline-s140926,9,,14.0,no bids,0,
baseline-s140926,10,,14.0,no bids,0,
baseline-s140926,11,,14.0,no bids,0,
baseline-s140926,12,,14.0,no bids,0,
baseline-s140926,13,,,no active orders,0,
baseline-s140926,14,,14.0,no bids,0,
baseline-s140926,15,,14.0,no bids,0,
baseline-s140926,16,,14.0,no bids,0,
baseline-s140926,17,,14.0,no bids,0,
baseline-s140926,18,,,no active orders,0,
baseline-s140926,19,,14.0,no bids,0,
baseline-s140926,20,,14.0,no bids,0,
baseline-s140926,21,,14.0,no bids,0,
baseline-s140926,22,,14.0,no bids,0,
baseline-s140926,23,,14.0,no bids,0,
baseline-s140926,24,,14.0,no bids,0,
baseline-s140926,25,,14.0,no bids,0,
baseline-s140926,26,,14.0,no bids,0,
baseline-s140926,27,,14.0,no bids,0,
baseline-s140926,28,,14.0,no bids,0,
baseline-s140926,29,,14.0,no bids,0,
baseline-s140926,30,,14.0,no bids,0,
BT-OC-PC-s140926,1,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,2,14.5,14.0,traded,1,14.25
BT-OC-PC-s140926,3,14.0,14.0,traded,3,14.0
BT-OC-PC-s140926,4,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,5,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,6,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,7,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,8,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,9,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,10,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,11,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,12,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,13,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,14,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,15,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,16,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,17,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,18,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,19,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,20,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,21,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,22,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,23,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,24,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,25,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,26,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,27,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,28,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,29,13.5,14.0,non-crossing quotes,0,
BT-OC-PC-s140926,30,13.5,14.0,non-crossing quotes,0,
evolved-s140926,1,14.2,,no offers,0,
evolved-s140926,2,14.2,,no offers,0,
evolved-s140926,3,14.3,,no offers,0,
evolved-s140926,4,14.4,,no offers,0,
evolved-s140926,5,14.5,,no offers,0,
evolved-s140926,6,14.6,,no offers,0,
evolved-s140926,7,14.7,,no offers,0,
evolved-s140926,8,14.8,,no offers,0,
evolved-s140926,9,14.9,,no offers,0,
evolved-s140926,10,15.0,,no offers,0,
evolved-s140926,11,15.1,,no offers,0,
evolved-s140926,12,15.2,,no offers,0,
evolved-s140926,13,15.1,,no offers,0,
evolved-s140926,14,15.1,,no offers,0,
evolved-s140926,15,15.2,,no offers,0,
evolved-s140926,16,15.3,,no offers,0,
evolved-s140926,17,15.4,,no offers,0,
evolved-s140926,18,15.4,,no offers,0,
evolved-s140926,19,15.3,,no offers,0,
evolved-s140926,20,15.2,,no offers,0,
evolved-s140926,21,15.4,,no offers,0,
evolved-s140926,22,15.5,,no offers,0,
evolved-s140926,23,15.6,,no offers,0,
evolved-s140926,24,15.5,,no offers,0,
evolved-s140926,25,15.5,,no offers,0,
evolved-s140926,26,15.6,,no offers,0,
evolved-s140926,27,15.6,,no offers,0,
evolved-s140926,28,15.7,,no offers,0,
evolved-s140926,29,15.8,,no offers,0,
evolved-s140926,30,15.9,,no offers,0,
