treatment,seed,trader,persona,cash,shares,complete
baseline,140926,trader-00,baseline,648.69,0,True
baseline,140926,trader-01,baseline,648.69,0,True
baseline,140926,trader-02,baseline,648.69,0,True
baseline,140926,trader-03,baseline,648.69,0,True
baseline,140926,trader-04,baseline,648.69,0,True
baseline,140926,trader-05,baseline,648.69,0,True
baseline,140926,trader-06,baseline,648.69,0,True
baseline,140926,trader-07,baseline,648.69,0,True
baseline,140926,trader-08,baseline,648.69,0,True
baseline,140926,trader-09,baseline,648.69,0,True
baseline,140926,trader-10,baseline,648.69,0,True
baseline,140926,trader-11,baseline,648.69,0,True
BT+OC+PC,140926,trader-00,OC,648.69,0,True
BT+OC+PC,140926,trader-01,BT,642.55,0,True
BT+OC+PC,140926,trader-02,OC,648.69,0,True
BT+OC+PC,140926,trader-03,OC,648.69,0,True
BT+OC+PC,140926,trader-04,BT,648.69,0,True
BT+OC+PC,140926,trader-05,PC,648.69,0,True
BT+OC+PC,140926,trader-06,BT,648.69,0,True
BT+OC+PC,140926,trader-07,PC,656.62,0,True
BT+OC+PC,140926,trader-08,OC,636.77,0,True
BT+OC+PC,140926,trader-09,BT,648.69,0,True
BT+OC+PC,140926,trader-10,PC,658.82,0,True
BT+OC+PC,140926,trader-11,PC,648.69,0,True
evolved,140926,trader-00,noise,648.69,0,True
evolved,140926,trader-01,trend_reader,648.69,0,True
evolved,140926,trader-02,reversion_rider,648.69,0,True
evolved,140926,trader-03,trend_reader,648.69,0,True
evolved,140926,trader-04,trend_reader,648.69,0,True
evolved,140926,trader-05,reversion_rider,648.69,0,True
evolved,140926,trader-06,trend_reader,648.69,0,True
evolved,140926,trader-07,noise,648.69,0,True
evolved,140926,trader-08,trend_reader,648.69,0,True
evolved,140926,trader-09,noise,648.69,0,True
evolved,140926,trader-10,trend_reader,648.69,0,True
evolved,140926,trader-11,trend_reader,648.69,0,True
