session,condition,trader,persona,buy_orders,sell_orders,holds,shares_bought,shares_sold,final_shares_before_redemption,net_trade_cash,interest_income,dividend_income,redemption_income,final_wealth,difference_from_no_trade
baseline-s140926,baseline,trader-00,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-01,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-02,baseline,0,20,10,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-03,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-04,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-05,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-06,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-07,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-08,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-09,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-10,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
baseline-s140926,baseline,trader-11,baseline,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-00,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-01,BT,1,28,1,1,0,5,-14.25,400.2,86.6,70,642.55,-6.1400000000001
BT-OC-PC-s140926,BT+OC+PC,trader-02,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-03,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-04,BT,0,6,24,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-05,PC,0,30,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-06,BT,0,1,29,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-07,PC,0,7,23,0,2,2,28.0,464.22,36.4,28,656.62,7.92999999999995
BT-OC-PC-s140926,BT+OC+PC,trader-08,OC,30,0,0,3,0,7,-42.0,361.37,119.4,98,636.77,-11.920000000000073
BT-OC-PC-s140926,BT+OC+PC,trader-09,BT,0,28,2,0,0,4,0.0,423.09,69.6,56,648.69,0.0
BT-OC-PC-s140926,BT+OC+PC,trader-10,PC,0,4,26,0,2,2,28.25,466.57,36.0,28,658.82,10.129999999999995
BT-OC-PC-s140926,BT+OC+PC,trader-11,PC,0,2,28,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-00,noise,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-01,trend_reader,20,0,10,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-02,reversion_rider,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-03,trend_reader,20,0,10,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-04,trend_reader,26,0,4,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-05,reversion_rider,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-06,trend_reader,26,0,4,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-07,noise,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-08,trend_reader,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-09,noise,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-10,trend_reader,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
evolved-s140926,evolved,trader-11,trend_reader,0,0,30,0,0,4,0.0,423.09,69.6,56,648.69,0.0
