session,condition,period,unit,buyer,buyer_persona,seller,seller_persona,quantity,price,bid_limit,ask_limit
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,2,1,trader-02,NT,trader-06,PC,1,0.93,1.0,0.85
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,2,2,trader-02,NT,trader-06,PC,1,0.93,1.0,0.85
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,1,trader-10,BT,trader-01,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,2,trader-10,BT,trader-01,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,3,trader-10,BT,trader-01,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,4,trader-10,BT,trader-01,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,5,trader-10,BT,trader-04,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,6,trader-10,BT,trader-04,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,7,trader-10,BT,trader-04,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,3,8,trader-10,BT,trader-04,RA,1,1.0,1.1,0.9
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,4,1,trader-07,BT,trader-06,PC,1,1.15,1.2,1.1
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,4,2,trader-07,BT,trader-06,PC,1,1.15,1.2,1.1
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,7,1,trader-08,MC,trader-09,PC,1,1.15,1.3,1.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,7,2,trader-08,MC,trader-09,PC,1,1.15,1.3,1.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,8,1,trader-08,MC,trader-09,PC,1,1.15,1.3,1.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,8,2,trader-08,MC,trader-09,PC,1,1.15,1.3,1.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,10,1,trader-08,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,10,2,trader-08,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,10,3,trader-08,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,10,4,trader-08,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,1,trader-08,MC,trader-10,BT,1,1.5,1.6,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,2,trader-08,MC,trader-10,BT,1,1.5,1.6,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,3,trader-08,MC,trader-10,BT,1,1.5,1.6,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,4,trader-08,MC,trader-10,BT,1,1.5,1.6,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,5,trader-02,NT,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,6,trader-02,NT,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,7,trader-00,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,11,8,trader-00,MC,trader-10,BT,1,1.5,1.5,1.5
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,13,1,trader-08,MC,trader-07,BT,1,1.8,1.8,1.8
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,13,2,trader-08,MC,trader-07,BT,1,1.8,1.8,1.8
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,13,3,trader-08,MC,trader-07,BT,1,1.8,1.8,1.8
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,13,4,trader-08,MC,trader-07,BT,1,1.8,1.8,1.8
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,2,1,trader-04,NT,trader-03,PC,1,1.1,1.2,0.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,2,2,trader-04,NT,trader-03,PC,1,1.1,1.2,0.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,2,3,trader-04,NT,trader-03,PC,1,1.1,1.2,0.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,2,4,trader-04,NT,trader-07,PC,1,1.1,1.2,1.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,2,5,trader-04,NT,trader-07,PC,1,1.1,1.2,1.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,3,1,trader-01,NT,trader-06,RA,1,1.25,1.3,1.1
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,3,2,trader-01,NT,trader-06,RA,1,1.25,1.3,1.1
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,3,3,trader-01,NT,trader-06,RA,1,1.25,1.3,1.1
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,3,4,trader-01,NT,trader-06,RA,1,1.25,1.3,1.1
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,3,5,trader-08,MC,trader-03,PC,1,1.25,1.3,1.2
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,4,1,trader-08,MC,trader-11,RA,1,1.33,1.5,1.25
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,4,2,trader-08,MC,trader-11,RA,1,1.33,1.5,1.25
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,4,3,trader-08,MC,trader-11,RA,1,1.33,1.5,1.25
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,4,4,trader-03,PC,trader-11,RA,1,1.33,1.4,1.25
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,5,1,trader-04,NT,trader-03,PC,1,1.5,1.5,1.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,6,1,trader-08,MC,trader-09,BT,1,1.55,1.7,1.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,6,2,trader-08,MC,trader-09,BT,1,1.55,1.7,1.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,6,3,trader-10,BT,trader-09,BT,1,1.55,1.6,1.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,6,4,trader-10,BT,trader-09,BT,1,1.55,1.6,1.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,7,1,trader-08,MC,trader-10,BT,1,1.78,1.8,1.75
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,7,2,trader-08,MC,trader-10,BT,1,1.78,1.8,1.75
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,8,1,trader-03,PC,trader-10,BT,1,1.9,1.9,1.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,8,2,trader-03,PC,trader-10,BT,1,1.9,1.9,1.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,8,3,trader-03,PC,trader-10,BT,1,1.9,1.9,1.9
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,9,1,trader-01,NT,trader-03,PC,1,2.0,2.0,2.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,9,2,trader-01,NT,trader-03,PC,1,2.0,2.0,2.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,10,1,trader-01,NT,trader-07,PC,1,2.05,2.1,2.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,10,2,trader-01,NT,trader-07,PC,1,2.05,2.1,2.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,11,1,trader-01,NT,trader-04,NT,1,2.2,2.2,2.2
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,11,2,trader-01,NT,trader-04,NT,1,2.2,2.2,2.2
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,12,1,trader-01,NT,trader-04,NT,1,2.3,2.4,2.3
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,12,2,trader-01,NT,trader-04,NT,1,2.3,2.4,2.3
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,12,3,trader-00,MC,trader-04,NT,1,2.3,2.3,2.3
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,12,4,trader-00,MC,trader-04,NT,1,2.3,2.3,2.3
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,12,5,trader-00,MC,trader-04,NT,1,2.3,2.3,2.3
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,13,1,trader-09,BT,trader-04,NT,1,2.5,2.5,2.4
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,13,2,trader-09,BT,trader-04,NT,1,2.5,2.5,2.4
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,13,3,trader-09,BT,trader-04,NT,1,2.5,2.5,2.4
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,13,4,trader-09,BT,trader-03,PC,1,2.5,2.5,2.5
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,14,1,trader-00,MC,trader-09,BT,1,2.6,2.6,2.5
