session,condition,trader,persona,buy_orders,sell_orders,holds,shares_bought,shares_sold,final_shares_before_redemption,net_trade_cash,interest_income,dividend_income,redemption_income,final_wealth,difference_from_no_trade
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-00,MC,30,0,0,2,0,6,-3.0,432.34,90.4,84,703.74,55.049999999999955
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-01,RA,1,1,28,0,4,0,4.0,353.54,3.2,0,460.74,-187.95000000000005
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-02,NT,30,0,0,4,0,8,-4.86,469.45,124.4,112,800.99,152.29999999999995
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-03,NT,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-04,RA,2,3,25,0,4,0,4.0,353.54,3.2,0,460.74,-187.95000000000005
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-05,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-06,PC,3,20,7,0,4,0,4.16,357.1,4.4,0,465.66,-183.03000000000003
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-07,BT,23,5,2,2,4,2,4.9,442.16,64.8,28,639.86,-8.830000000000041
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-08,MC,30,0,0,16,0,20,-23.8,515.13,246.0,280,1117.33,468.6399999999999
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-09,PC,6,24,0,0,4,0,4.6,383.69,16.4,0,504.69,-144.00000000000006
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-10,BT,3,24,3,8,12,0,10.0,501.11,73.6,0,684.71,36.01999999999998
speculative-v1-s140926,RA+MC+BT+PC+NT+OC,trader-11,OC,30,0,0,0,0,4,0.0,423.09,69.6,56,648.69,0.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-00,MC,30,0,0,7,0,11,-17.3,482.12,185.6,154,904.42,193.76999999999998
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-01,NT,30,0,0,13,0,17,-24.7,601.95,317.0,238,1232.25,521.6
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-02,OC,30,0,0,0,0,4,0.0,458.65,96.0,56,710.65,0.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-03,PC,9,20,1,4,8,0,5.52,372.35,11.2,0,489.07,-221.57999999999998
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-04,NT,7,22,1,6,10,0,16.4,558.31,96.0,0,770.71,60.06000000000006
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-05,OC,30,0,0,0,0,4,0.0,458.65,96.0,56,710.65,0.0
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-06,RA,5,24,1,0,4,0,5.0,371.01,8.0,0,484.01,-226.64
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-07,PC,8,8,14,0,4,0,6.3,393.78,18.8,0,518.88,-191.76999999999998
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-08,MC,30,0,0,8,0,12,-11.9,590.02,255.0,168,1101.12,390.4699999999999
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-09,BT,28,2,0,4,8,0,6.6,403.33,21.6,0,531.53,-179.12
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-10,BT,7,22,1,2,6,0,8.76,432.04,34.8,0,575.6,-135.04999999999995
speculative-v1-s140927,RA+MC+BT+PC+NT+OC,trader-11,RA,3,1,26,0,4,0,5.32,381.85,12.0,0,499.17,-211.47999999999996
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-00,RA,26,3,1,0,4,0,6.2,395.24,17.6,0,519.04,-168.20000000000005
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-01,PC,4,26,0,0,4,0,5.69,387.62,14.6,0,507.91,-179.32999999999998
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-02,RA,10,3,17,0,4,0,5.52,385.09,13.6,0,504.21,-183.03000000000003
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-03,OC,30,0,0,0,0,4,0.0,442.44,88.8,56,687.24,0.0
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-04,OC,30,0,0,0,0,4,0.0,442.44,88.8,56,687.24,0.0
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-05,BT,28,1,1,0,4,0,13.4,443.74,85.6,0,642.74,-44.5
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-06,NT,30,0,0,18,0,22,-39.2,578.35,285.2,308,1232.35,545.1099999999999
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-07,BT,27,3,0,0,4,0,11.52,443.77,81.6,0,636.89,-50.35000000000002
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-08,PC,19,11,0,0,4,0,5.12,374.7,9.6,0,489.42,-197.82
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-09,MC,30,0,0,1,0,5,-1.38,456.83,107.6,70,733.05,45.809999999999945
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-10,NT,30,0,0,0,0,4,0.0,442.44,88.8,56,687.24,0.0
speculative-v1-s140928,RA+MC+BT+PC+NT+OC,trader-11,MC,30,0,0,5,0,9,-6.87,516.87,183.8,126,919.8,232.55999999999995
