dividend,period,price,reference_price,total_cash,total_interest,total_shares,volume
0.4,1,,14.0,1279.2,60.0,48,0
0.4,2,,14.0,1362.36,63.96,48,0
1.0,3,,14.0,1478.52,68.16,48,0
0.4,4,,14.0,1571.64,73.92,48,0
0.4,5,22.0,22.0,1669.44,78.6,48,4
1.0,6,22.25,22.25,1800.94,83.5,48,4
1.0,7,22.5,22.5,1938.96,90.02,48,6
0.4,8,23.25,23.25,2055.12,96.96,48,8
1.0,9,23.88,23.88,2205.87,102.75,48,3
1.0,10,24.75,24.75,2364.16,110.29,48,3
1.0,11,26.0,26.0,2530.37,118.21,48,8
0.4,12,26.5,26.5,2676.08,126.51,48,11
0.4,13,,26.5,2829.09,133.81,48,0
0.4,14,,26.5,2989.76,141.47,48,0
1.0,15,27.25,27.25,3187.24,149.48,48,11
0.4,16,27.5,27.5,3365.79,159.35,48,5
0.4,17,28.0,28.0,3553.27,168.28,48,2
0.4,18,,28.0,3750.15,177.68,48,0
0.4,19,,28.0,3956.87,187.52,48,0
0.4,20,28.25,28.25,4173.92,197.85,48,6
0.4,21,23.25,23.25,4401.82,208.7,48,1
0.4,22,26.63,26.63,4641.11,220.09,48,15
0.4,23,,26.63,4892.37,232.06,48,0
1.0,24,29.0,29.0,5185.0,244.63,48,16
0.4,25,29.5,29.5,5463.44,259.24,48,3
0.4,26,,29.5,5755.81,273.17,48,0
1.0,27,,29.5,6091.61,287.8,48,0
0.4,28,,29.5,6415.41,304.6,48,0
0.4,29,23.75,23.75,6755.37,320.76,48,1
0.4,30,,23.75,7112.35,337.78,48,0
